,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
MV.MBLG..HHE,,,,,,,,,,0.764157509241013,0.7922916965952786,1.5426818722286266,1.474863864423737
MV.MBLG..HHN,,,,,,,,,,1.4363963543707732,1.4321703267086658,2.778993489891637,1.4083995196509336
MV.MBLG..HHZ,,,,,,,,,,0.9977651320777743,1.1244589566287926,2.3198620915822254,1.1819528280133065
MV.MBLG..SHE,,,7.631139481709836,1.8994023070945163,0.5689602895365172,,,,,,,,
MV.MBLG..SHZ,1.4019117786692634,1.0,2.054831832686329,2.7103587781933594,2.581646863318291,3.2265190573659526,1.9518801016585434,1.162418155072776,1.7127272174809116,,,,
MV.MBLY..HHE,,,,,,,,0.34679565048953304,0.9313643410805121,1.6533073340703655,2.9176964040446447,,2.117548925488904
MV.MBLY..HHN,,,,,,,,0.31888649844066913,0.9982588892996684,1.672936765266783,2.9501282358862113,,2.0518880711325873
MV.MBLY..HHZ,,,,,,,,0.19299722797698096,0.4516579243634433,0.8076668830691102,1.3202762066550455,,1.3286864161274008
MV.MBMH..SHE,,,,0.10773418600616658,0.1149247203214769,0.11519480165089595,,,,,,,
MV.MBMH..SHN,,,,2.805105341397719,3.1665765514990563,3.990159154254542,,,,,,,
MV.MBMH..SHZ,,,1.553816840745635,1.9360849672203324,2.5379028225285456,1.8020326859142015,1.0,1.3566562075840474,,,,,
MV.MBRV..SHZ,,,,,,,,0.2744175610300347,0.267138230009281,0.501024588621445,,,
MV.MBRY..BHE,,,3.1674535147678937,3.538055862251392,5.120759568179077,3.859512027574334,1.9989013915177747,1.498200850927482,1.8666317226332643,3.887935170082673,,,
MV.MBRY..BHN,,,4.000079948928758,3.4284950615647323,5.013831424063739,4.255060611633078,2.130404344633539,1.660589510513926,2.0093374166927767,3.6330419839438393,,,
MV.MBRY..BHZ,,,1.692518907495107,1.9135439470493316,2.414270642697431,2.0192573961812443,1.0017355655684959,0.7191585145264647,0.9000650157060335,2.46531962781791,,,
MV.MBRY..HHE,,,,,,,,,,1.36657178188827,1.7583633927403595,3.606622998166429,1.4106838478982426
MV.MBRY..HHN,,,,,,,,,,1.5001274875741437,1.8808918558268641,4.030779619096274,1.5617598957768792
MV.MBRY..HHZ,,,,,,,,,,0.7318329413112125,0.904169570087923,2.0648806541581948,0.8195179747787292
MV.MBSS..SHZ,,,1.756777376438526,2.4794462457859177,2.009945136180749,1.85586121075713,0.9492211448577451,0.6449782887154257,0.9745473553310771,,,,
MV.MBWH..HHE,,,,,,,,,,0.9581208910360486,1.2046112179515547,2.406936814851547,1.1470077974141322
MV.MBWH..HHN,,,,,,,,,,0.7630658311395644,1.0,2.0446826853482922,1.0
MV.MBWH..HHZ,,,,,,,,,,0.378395866711251,0.4763181423266114,1.0,0.45657783491644593
MV.MBWH..SHZ,0.750128070387538,0.5040245534674674,0.8171555195823038,1.0,1.0,1.0,0.5763289005119865,0.3699474573940797,0.47453581084805385,0.7186834944782131,,,
